Episode 131	Step 136392	Time 2247.77	Epsilon 0.03	Reward 1572.0
Episode 132	Step 138081	Time 2276.46	Epsilon 0.03	Reward 1157.0
Episode 133	Step 139705	Time 2303.84	Epsilon 0.03	Reward 1175.0
Episode 134	Step 140551	Time 2316.86	Epsilon 0.03	Reward 1912.0
Episode 135	Step 140777	Time 2320.42	Epsilon 0.03	Reward 1070.0
Episode 136	Step 141609	Time 2336.24	Epsilon 0.03	Reward 1965.0
Episode 137	Step 142076	Time 2343.57	Epsilon 0.03	Reward 2055.0
Episode 138	Step 142892	Time 2356.08	Epsilon 0.03	Reward 2184.0
Episode 139	Step 143136	Time 2359.85	Epsilon 0.03	Reward 1277.0
Episode 140	Step 144160	Time 2377.95	Epsilon 0.03	Reward 1355.0
Episode 141	Step 144948	Time 2390.04	Epsilon 0.03	Reward 1654.0
Episode 142	Step 145627	Time 2400.52	Epsilon 0.03	Reward 1772.0
Episode 143	Step 145981	Time 2408.72	Epsilon 0.03	Reward 1244.0
Episode 144	Step 148534	Time 2450.73	Epsilon 0.02	Reward 2044.0
Episode 145	Step 150821	Time 2488.36	Epsilon 0.02	Reward 1444.0
Episode 146	Step 152843	Time 2522.35	Epsilon 0.02	Reward 1894.0
Episode 147	Step 156021	Time 2574.07	Epsilon 0.02	Reward 1666.0
Episode 148	Step 157040	Time 2592.49	Epsilon 0.02	Reward 1721.0
Episode 149	Step 157276	Time 2596.16	Epsilon 0.02	Reward 1260.0
Episode 150	Step 159433	Time 2631.64	Epsilon 0.02	Reward 1290.0
Episode 151	Step 159656	Time 2635.19	Epsilon 0.02	Reward 1075.0
Episode 152	Step 159965	Time 2640.08	Epsilon 0.02	Reward 1239.0
Episode 153	Step 162179	Time 2676.12	Epsilon 0.02	Reward 1392.0
Episode 154	Step 162538	Time 2681.69	Epsilon 0.02	Reward 1232.0
Episode 155	Step 162886	Time 2690.13	Epsilon 0.02	Reward 1180.0
Episode 156	Step 163230	Time 2695.45	Epsilon 0.02	Reward 1674.0
Episode 157	Step 163525	Time 2699.97	Epsilon 0.02	Reward 1653.0
Episode 158	Step 163875	Time 2705.36	Epsilon 0.02	Reward 1465.0
Episode 159	Step 164115	Time 2709.05	Epsilon 0.02	Reward 1167.0
Episode 160	Step 164973	Time 2725.12	Epsilon 0.02	Reward 1335.0
Episode 161	Step 165604	Time 2734.87	Epsilon 0.02	Reward 1193.0
Episode 162	Step 167093	Time 2760.63	Epsilon 0.02	Reward 2010.0
Episode 163	Step 167462	Time 2766.39	Epsilon 0.02	Reward 2128.0
Episode 164	Step 171572	Time 2835.10	Epsilon 0.01	Reward 1408.0
Episode 165	Step 173249	Time 2861.47	Epsilon 0.01	Reward 987.0
Episode 166	Step 174454	Time 2882.92	Epsilon 0.01	Reward 1663.0
Episode 167	Step 176665	Time 2920.03	Epsilon 0.01	Reward 1486.0
Episode 168	Step 179032	Time 2959.54	Epsilon 0.01	Reward 1738.0
Episode 169	Step 179307	Time 2963.92	Epsilon 0.01	Reward 1673.0
Episode 170	Step 179785	Time 2974.85	Epsilon 0.01	Reward 1627.0
Episode 171	Step 180403	Time 2984.51	Epsilon 0.01	Reward 2235.0
